year,timestamp,X,Y,lap_number,driver,multi_car
2020,0 days 00:02:08.016000,-232.0149411334296,1165.4255796288003,1.0,44,True
2020,0 days 00:03:14.855000,-386.1945298184357,1136.1979767574903,2.0,44,True
2020,0 days 00:03:02.635000,-377.1149766027387,1331.1013421079717,3.0,44,True
2020,0 days 00:02:24.304000,-380.9626349522807,1266.415748953362,4.0,44,True
2020,0 days 00:02:27.673000,-376.8885381901944,1342.6935975668932,5.0,44,True
2020,0 days 00:02:20.062000,-377.15799042054226,1324.33181296545,6.0,44,True
2020,0 days 00:02:18.867000,-379.33473460227515,1299.1517738419539,7.0,44,True
2020,0 days 00:02:36.128000,-375.3319675366078,1377.906634385365,8.0,44,True
2020,0 days 00:01:37.767000,-231.86363566795848,1171.3486840664486,19.0,44,True
2020,0 days 00:01:54.337000,-374.2279147705723,1382.0597474540446,20.0,44,True
2020,0 days 00:01:37.475000,-231.1849826451165,1178.560775987171,35.0,44,True
2020,0 days 00:01:55.511000,-375.1122163109335,1375.2486075006539,36.0,44,True
2020,0 days 00:02:07.139000,-377.5260808364056,1313.353786035941,55.0,44,True
2020,0 days 00:02:22.229000,-382.88476698095394,1196.5394709398586,56.0,44,True
2020,0 days 00:02:37.695000,-376.8931364943742,1329.2256062030215,57.0,44,True
2020,0 days 00:02:10.139000,-231.68298122523623,1170.236389037652,1.0,33,True
2020,0 days 00:03:15.806000,-385.05233149719714,1160.069529560132,2.0,33,True
2020,0 days 00:03:02.499000,-376.55113773535203,1356.0798419724727,3.0,33,True
2020,0 days 00:02:24.266000,-378.20291163009574,1314.273575604274,4.0,33,True
2020,0 days 00:02:28.753000,-378.2863513593422,1317.8438277488337,5.0,33,True
2020,0 days 00:02:18.960000,-376.18087266939864,1351.9438389980999,6.0,33,True
2020,0 days 00:02:18.648000,-376.6142481924753,1339.7380376020087,7.0,33,True
2020,0 days 00:02:36.295000,-374.68455122574574,1377.8738656355858,8.0,33,True
2020,0 days 00:01:38.100000,-229.91722755702943,1203.0099614869027,20.0,33,True
2020,0 days 00:01:54.175000,-375.5204607404771,1362.6041509192985,21.0,33,True
2020,0 days 00:01:37.439000,-231.4624639900889,1157.4133808468755,34.0,33,True
2020,0 days 00:01:55.512000,-375.6520255128189,1357.7247750825027,35.0,33,True
2020,0 days 00:01:36.307000,-235.9942247377556,1136.4361458969481,46.0,33,False
2020,0 days 00:01:53.625000,-375.93561138912935,1339.723944036515,47.0,33,False
2020,0 days 00:01:32.047000,-375.6442449059107,1362.8376910127631,54.0,33,True
2020,0 days 00:02:12.874000,-379.36432172818553,1262.0557055253148,55.0,33,True
2020,0 days 00:02:11.331000,-377.9336635540317,1298.7805174508792,56.0,33,True
2020,0 days 00:02:26.689000,-377.0511342530634,1332.8912836532027,57.0,33,True
2020,0 days 00:02:16.729000,-231.71070271824465,1158.1413315217578,1.0,23,True
2020,0 days 00:03:24.740000,-384.67975541861665,1173.559628903847,2.0,23,True
2020,0 days 00:03:00.145000,-377.6475208867982,1319.5034716472207,3.0,23,True
2020,0 days 00:02:19.742000,-381.22790652639674,1251.4433062797325,4.0,23,True
2020,0 days 00:02:28.957000,-377.3085278694963,1319.7872665604036,5.0,23,True
2020,0 days 00:02:18.973000,-376.38937548447143,1344.2861610746213,6.0,23,True
2020,0 days 00:02:19.135000,-378.8332292121731,1291.802897090528,7.0,23,True
2020,0 days 00:02:34.403000,-373.1962205994075,1410.7554491319697,8.0,23,True
2020,0 days 00:01:39.330000,-232.08091537136028,1158.0783210665668,19.0,23,True
2020,0 days 00:01:55.349000,-375.57714643798676,1364.7040653973104,20.0,23,True
2020,0 days 00:01:38.293000,-233.0179405883863,1139.7779865618636,34.0,23,True
2020,0 days 00:01:54.767000,-374.90542117522807,1363.080789782116,35.0,23,True
2020,0 days 00:01:48.128000,-377.22115785123384,1330.1095999784086,54.0,23,True
2020,0 days 00:02:13.017000,-379.07923820455267,1273.8423944197384,55.0,23,True
2020,0 days 00:01:49.706000,-375.8464877826573,1348.420210199113,56.0,23,True
2020,0 days 00:02:15.114000,-376.576870587354,1328.2088391675095,57.0,23,True
2020,0 days 00:02:39.166000,-230.32139318801887,1178.1737052357532,1.0,4,True
2020,0 days 00:03:28.222000,-385.656812672063,1154.044577737939,2.0,4,True
2020,0 days 00:02:59.629000,-378.626552704868,1297.381525518339,3.0,4,True
2020,0 days 00:02:18.927000,-382.23551373192197,1233.737827633193,4.0,4,True
2020,0 days 00:02:29.443000,-378.8082303481444,1293.983692159126,5.0,4,True
2020,0 days 00:02:18.794000,-378.9430185209102,1300.2653156807123,6.0,4,True
2020,0 days 00:02:18.451000,-379.39795663379675,1279.4259174092758,7.0,4,True
2020,0 days 00:02:32.909000,-374.8059259032807,1390.4319555906186,8.0,4,True
2020,0 days 00:01:39.469000,-235.4960254573754,1134.579149295959,18.0,4,True
2020,0 days 00:01:57.463000,-375.8963796622982,1359.7043234006348,19.0,4,True
2020,0 days 00:01:38.012000,-232.14628610811155,1148.4714720845654,38.0,4,True
2020,0 days 00:01:55,-375.9051554962526,1344.833892207525,39.0,4,True
2020,0 days 00:01:53.253000,-377.5108960951021,1312.4998361203845,54.0,4,True
2020,0 days 00:02:12.201000,-376.7759660303033,1322.1857979536312,55.0,4,True
2020,0 days 00:01:45.917000,-378.83247732510983,1297.8545784611076,56.0,4,True
2020,0 days 00:02:07.016000,-377.42993285715534,1306.9423145042872,57.0,4,True
2020,0 days 00:02:47.647000,-233.8181985633376,1117.554692002374,1.0,55,True
2020,0 days 00:03:48.188000,-385.76809230209705,1153.567666628802,2.0,55,True
2020,0 days 00:02:47.682000,-377.3844726582522,1333.4268630345096,3.0,55,True
2020,0 days 00:02:18.441000,-380.3389677509227,1272.9835447240987,4.0,55,True
2020,0 days 00:02:30.924000,-382.10920473347244,1228.9036123997475,5.0,55,True
2020,0 days 00:02:18.223000,-382.7302592082105,1217.1052193181213,6.0,55,True
2020,0 days 00:02:18.097000,-381.51301798204383,1243.7987936241118,7.0,55,True
2020,0 days 00:02:26.467000,-376.4997859063356,1346.0300953171397,8.0,55,True
2020,0 days 00:01:40.205000,-232.45269060291875,1147.7041273020345,21.0,55,True
2020,0 days 00:01:56.571000,-377.1016151683412,1325.5536921343933,22.0,55,True
2020,0 days 00:01:39.875000,-235.93734806180504,1145.8233947229887,39.0,55,True
2020,0 days 00:01:56.129000,-377.1804603819337,1320.849554902473,40.0,55,True
2020,0 days 00:01:33.789000,-378.05305660709894,1309.5624552736208,48.0,55,False
2020,0 days 00:01:54.041000,-379.96569328664407,1266.5830032615218,54.0,55,True
2020,0 days 00:02:11.830000,-381.5654000219894,1220.9172580565228,55.0,55,True
2020,0 days 00:01:42.023000,-377.69785004610185,1307.1072111262183,56.0,55,True
2020,0 days 00:02:02.091000,-378.77448014194425,1286.5575329857095,57.0,55,True
2020,0 days 00:02:27.930000,-231.598277914562,1160.9877897870497,1.0,10,True
2020,0 days 00:03:35.485000,-385.4674518268451,1152.0712169870687,2.0,10,True
2020,0 days 00:02:58.897000,-375.45909971798136,1370.4118365450977,3.0,10,True
2020,0 days 00:02:18.822000,-379.6092025989199,1283.0276823303639,4.0,10,True
2020,0 days 00:02:31.340000,-381.8446813228416,1233.2050187251043,5.0,10,True
2020,0 days 00:02:17.801000,-383.051729390108,1219.505543738356,6.0,10,True
2020,0 days 00:02:18.209000,-380.2204661153023,1264.8494371069628,7.0,10,True
2020,0 days 00:02:27.312000,-374.0303312328158,1389.3737928916782,8.0,10,True
2020,0 days 00:01:39.369000,-232.58477499541155,1153.4108705611718,25.0,10,True
2020,0 days 00:01:55.499000,-376.22111926369956,1351.5633680780043,26.0,10,True
2020,0 days 00:01:57.736000,-377.2146143635722,1316.8254499753054,54.0,10,True
2020,0 days 00:02:10.805000,-378.3639203186333,1294.8880146159631,55.0,10,True
2020,0 days 00:01:47.503000,-375.3511008685986,1356.642201730281,56.0,10,True
2020,0 days 00:01:48.630000,-375.3381785962579,1351.4662841453242,57.0,10,True
2020,0 days 00:02:21.407000,-231.87939770924922,1158.455959262555,1.0,3,True
2020,0 days 00:03:26.155000,-385.74308241221456,1163.0539053433943,2.0,3,True
2020,0 days 00:03:07.504000,-377.7904260259237,1320.2845591594405,3.0,3,True
2020,0 days 00:02:17.846000,-379.9747325309544,1276.979983447593,4.0,3,True
2020,0 days 00:02:31.491000,-380.8266446625944,1257.2478983729522,5.0,3,True
2020,0 days 00:02:17.064000,-382.8513507137132,1207.7533002018636,6.0,3,True
2020,0 days 00:02:19.581000,-381.7691454022296,1246.2091293354572,7.0,3,True
2020,0 days 00:02:27.921000,-376.0620701959541,1351.7696537643221,8.0,3,True
2020,0 days 00:01:39.735000,-231.93969705139693,1145.905974903339,16.0,3,False
2020,0 days 00:01:54.990000,-376.46937346369623,1348.5737702343833,17.0,3,True
2020,0 days 00:01:39.354000,-232.209093879052,1148.0500217949946,36.0,3,True
2020,0 days 00:01:55.721000,-375.4909152348891,1354.968369451092,37.0,3,True
2020,0 days 00:01:57.083000,-376.8076926610137,1323.608532986645,54.0,3,True
2020,0 days 00:02:12.064000,-379.4147006416929,1275.2182231335482,55.0,3,True
2020,0 days 00:01:53.662000,-377.2991637944995,1312.5091531903704,56.0,3,True
2020,0 days 00:01:47.813000,-377.5618145916329,1309.7096496551821,57.0,3,True
2020,0 days 00:02:23.172000,-231.79789151825506,1162.785911174716,1.0,77,True
2020,0 days 00:03:20.878000,-385.82769188350966,1143.7022371523185,2.0,77,True
2020,0 days 00:03:01.768000,-377.65736469243376,1329.4444256811325,3.0,77,True
2020,0 days 00:02:23.108000,-232.42052081883946,1157.6173609300242,4.0,77,True
2020,0 days 00:02:48.543000,-380.5237868711277,1271.217452531063,5.0,77,True
2020,0 days 00:02:17.765000,-382.9236670536578,1207.3174412651856,6.0,77,True
2020,0 days 00:02:20.284000,-377.5787487082072,1319.5433578466082,7.0,77,True
2020,0 days 00:02:18.453000,-376.2466255424078,1348.6295416767123,8.0,77,True
2020,0 days 00:01:40.305000,-232.28181961500314,1146.2197640370237,25.0,77,True
2020,0 days 00:01:56.605000,-375.8775523585803,1361.6821798625167,26.0,77,True
2020,0 days 00:01:38.440000,-232.69959755255175,1148.7379981091246,38.0,77,True
2020,0 days 00:01:53.849000,-376.05448693108616,1350.4950486637083,39.0,77,True
2020,0 days 00:01:56.767000,-378.08189274936973,1294.3097225917297,54.0,77,True
2020,0 days 00:02:11.174000,-378.6263438387232,1294.8256353462639,55.0,77,True
2020,0 days 00:01:51.207000,-376.50925797298,1336.4991597038452,56.0,77,True
2020,0 days 00:01:47.789000,-376.66760265059816,1330.7291407016487,57.0,77,True
2020,0 days 00:02:29.412000,-231.9459991283925,1168.3222591049268,1.0,31,True
2020,0 days 00:03:31.159000,-386.14308567472926,1139.302505969096,2.0,31,True
2020,0 days 00:02:58.235000,-378.11312548520715,1313.4188551022332,3.0,31,True
2020,0 days 00:02:18.854000,-381.41682134467226,1246.0959973240615,4.0,31,True
2020,0 days 00:02:29.805000,-379.02289294500827,1289.1851912086718,5.0,31,True
2020,0 days 00:02:19.003000,-380.2826722878869,1276.4611836672548,6.0,31,True
2020,0 days 00:02:17.864000,-379.1397278832324,1293.3672332678802,7.0,31,True
2020,0 days 00:02:31.955000,-375.73368397909945,1357.5753818909786,8.0,31,True
2020,0 days 00:01:39.804000,-232.57272689798472,1150.8862729338223,17.0,31,True
2020,0 days 00:01:57.868000,-375.49010000426387,1359.3387173581573,18.0,31,True
2020,0 days 00:01:38.992000,-232.07813835176992,1147.8310926654635,34.0,31,True
2020,0 days 00:01:56.164000,-375.1243347892505,1376.8552092555597,35.0,31,True
2020,0 days 00:02:04.662000,-378.04061929820534,1303.1251939974477,54.0,31,True
2020,0 days 00:02:09.462000,-378.6045938931006,1286.2165812916655,55.0,31,True
2020,0 days 00:01:38.588000,-376.52892796456723,1345.685985286953,56.0,31,True
2020,0 days 00:01:47.307000,-377.2492922175617,1322.4177067679248,57.0,31,True
2020,0 days 00:02:40.383000,-228.84662325463282,1237.046923543973,1.0,16,True
2020,0 days 00:03:45.040000,-384.5571739364275,1181.4581296604197,2.0,16,True
2020,0 days 00:02:46.263000,-377.57924658718684,1333.7952891911016,3.0,16,True
2020,0 days 00:02:18.031000,-378.62914469676105,1307.1059904132126,4.0,16,True
2020,0 days 00:02:30.180000,-379.0263338485935,1296.8738576918388,5.0,16,True
2020,0 days 00:02:18.696000,-379.57776053000765,1277.6945663863048,6.0,16,True
2020,0 days 00:02:17.543000,-380.18571845095755,1277.8073375135066,7.0,16,True
2020,0 days 00:02:31.473000,-374.93894192589767,1376.9172089141314,8.0,16,True
2020,0 days 00:01:40.792000,-229.50834970864472,1227.0246580693106,23.0,16,False
2020,0 days 00:01:55.223000,-375.3144980383717,1354.6773883154908,24.0,16,False
2020,0 days 00:01:40.296000,-232.32784965538298,1155.994420103876,40.0,16,True
